1,-0.11055,2.8403,8.3556
2,-0.27344,2.8355,9.424
3,-0.48664,2.7709,10.044
4,-0.58007,2.7038,10.147
5,-0.38843,2.7565,9.8863
6,0.10744,2.8667,9.6515
7,-0.045873,2.881,9.5006
8,-0.31177,2.8307,9.0287
9,-0.41238,2.8188,8.8371
10,-0.51539,2.8858,8.8826
11,-0.38843,2.8331,8.8371
12,-0.26386,2.917,9.0359
13,-0.069828,2.9002,9.6611
14,-0.15846,2.7086,10.109
15,-0.44113,2.6511,9.7833
16,-0.6136,2.7229,9.1629
17,-0.53934,2.8068,8.7868
18,-0.28303,2.7828,8.9784
19,-0.024314,2.7996,9.5318
20,-0.10576,2.9745,10.006
21,0.0212,3.0128,9.5629
22,0.37573,2.8212,8.9257
23,0.1793,3.0344,8.6886
24,-0.15607,3.1565,8.8155
25,-0.28303,2.9601,9.7042
26,-0.18002,2.79,10.226
27,0.088274,2.7637,9.539
28,0.13858,3.0032,9.0647
29,0.26793,3.1541,9.5126
30,0.73505,2.9697,9.5437
31,1.3387,2.8164,8.7341
32,1.2477,2.9433,9.4479
33,0.86441,3.0415,9.6539
34,0.70631,2.8978,8.8227
35,1.0752,2.675,8.7173
36,1.48,2.8882,9.1772
37,1.7891,3.1901,9.0742
38,1.6885,3.2092,8.5472
39,1.4824,2.9745,8.7317
40,1.4944,2.8643,9.3737
41,1.7771,2.8834,9.7162
42,1.8633,2.9002,8.6957
43,1.6717,3.1134,8.0753
44,1.8298,3.0847,9.1868
45,1.9448,2.6415,9.6372
46,1.801,2.6247,9.7713
47,1.7939,2.9864,10.265
48,1.7435,2.9912,9.5845
49,1.6861,2.9697,8.3292
50,1.595,3.2931,8.0178
51,1.6429,3.4009,8.255
52,1.8154,3.3098,9.0647
53,1.8298,2.9769,9.4767
54,1.607,2.8307,9.297
55,1.3866,3.0032,9.4839
56,1.4848,3.0272,9.4575
57,1.916,2.9266,8.9664
58,2.0382,2.9721,8.6478
59,1.9831,2.9888,8.4849
60,1.4992,2.9481,8.9185
61,1.2022,3.02,9.3329
62,1.3962,3.0847,9.2874
63,1.5471,3.032,9.1245
64,1.4226,2.9625,9.3449
65,1.3219,3.1278,9.1221
66,1.2118,2.9888,8.5017
67,1.2597,2.7709,9.0191
68,1.3339,2.6175,9.7066
69,1.2573,2.7397,10.207
70,1.298,2.7158,9.9294
71,0.83087,2.7373,9.3282
72,1.104,2.9625,8.5568
73,1.9951,2.7709,8.6287
74,2.2945,2.4403,8.861
75,2.3328,2.4091,8.8538
76,2.6083,2.4666,9.2228
77,2.7017,2.5505,9.9534
